pd,lgd,ead,ecl
0.03282983774795556,0.24395464376443093,1169,9.362510914623837
0.5581025558062683,0.28406091873844963,5951,943.442527402755
0.055466157205291675,0.3902720399385139,2096,45.37188211084467
0.3550708760899746,0.29864681446248165,7882,835.8134756671723
0.720018609777121,0.41835336214606494,4870,1466.9521442329312
0.27509742434438106,0.49963164721546416,9055,1244.586019289077
0.07561469942050474,0.3039632841398589,2835,65.1599018550724
0.26327125768403215,0.15089426689933477,6948,276.0171055492425
0.02775128080181781,0.3293798647231175,3059,27.961441423055355
0.6571109465360903,0.5237398684560446,5234,1801.3083204629565
0.686107840386535,0.16127411465867025,1295,143.29360770173034
0.879750033136275,0.3274650438666328,4308,1241.0804467939015
0.14960870990391734,0.48761242462451476,1567,114.31432007913223
0.4068235988120531,0.21620560433097472,1199,105.46109290267707
0.6444669914392602,0.29178582562220173,1403,263.82900545625546
0.46358313901819787,0.22819733188848898,1282,135.62077422439222
0.026563175923189988,0.15634583241166214,2424,10.066973447329552
0.7706499736559297,0.14563365400354747,8072,905.9413181267352
0.5545154435014732,0.3281252531586547,12579,2288.7555945933723
0.07116933182555336,0.313299117387217,3430,76.47970074172457
0.0763368159679932,0.32894420762061183,2134,53.58592104282083
0.18486965897328694,0.16357224331793252,2647,80.04407519063746
0.17982789516100364,0.41305495459492536,2241,166.45879768128037
0.05349715376768309,0.11293331963858236,1804,10.899066543825061
0.008081404602263656,0.3648103431760136,2069,6.099784391646465
0.21636079663626634,0.29892066136433687,1374,88.86305487033901
0.20519257955272457,0.09624516671128007,426,8.41298625548904
0.14962842579184776,0.395987313395504,409,24.233641959797147
0.10433448778093846,0.25349054600379056,2415,63.87145215319741
0.8041181335214315,0.6281818928514328,6836,3453.0854363461463
0.23097194105186034,0.22661914083185933,1913,100.13151400802167
0.5192936226344008,0.5606250264600108,4020,1170.3385837383018
0.30182438597199346,0.1640564553357773,5866,290.46225736665053
0.05191977026285678,0.0688624480669468,1264,4.5192076189844625
0.49978634167206387,0.5079425083905975,1474,374.1936611431475
0.5173939552424143,0.04625077045058682,4746,113.57115854185518
0.3969794686967173,0.11893728837457813,6110,288.4876920531982
0.35319977442687417,0.43580332116414594,2100,323.2438329322838
0.09527244658032366,0.24392524862993042,1225,28.468210144116835
0.1824555245881597,0.2768931445268666,458,23.138473244297668
0.18562735762104526,0.479835745865537,2333,207.8018068461347
0.2045743241232777,0.4232122092470457,1158,100.25773123088806
0.3203724225997416,0.2031280864899692,6204,403.7354569830832
0.18201862879098502,0.052897264407406976,6187,59.570214974283445
0.7049459860341082,0.15792929255959193,6143,683.910146986538
0.19735219398504295,0.17389174406264576,1393,47.80485866886165
0.114328036249135,0.4552325047221421,2299,119.65338225551079
0.14115843138192152,0.5640587698096096,1352,107.6484723595872
0.08278630191719509,0.08919630954948148,7228,53.373233321436715
0.1488341344585612,0.2339890354013085,2073,72.19337666913734
0.41278525243437425,0.5450425599776015,2333,524.8912431413717
0.13309400200983815,0.2092531689413234,5965,166.12728816678154
0.07346413310177848,0.3996442644059915,1262,37.051713525309346
0.010332367477502382,0.3734145063194637,3378,13.033188432641735
0.7534983506538264,0.3619444339374875,2225,606.812088150511
0.03523171523086708,0.21604299064489343,783,5.959855492112175
0.13710105258027352,0.12510978300763198,6468,110.94355324580381
0.30687584704380333,0.26730226900100523,9566,784.6856853302169
0.4520711811535095,0.3925602709342212,1961,348.0092284814983
0.9251963093522871,0.05128730414767465,6229,295.57118589806004
0.26207972875537844,0.6816644924045036,1391,248.50276937271914
0.021949450854226834,0.024211150100058833,1537,0.8167947674904111
0.510362526371166,0.04150542797091383,1953,41.37003784606854
0.7770778940448922,0.11519921241583758,14421,1290.950057857076
0.2520043046702317,0.19455375389612842,3181,155.95928782308715
0.1859535441168986,0.26448596600444013,5190,255.25511326060038
