pd,lgd,ead,ecl,limit,rate,term,profit,fallback,top_drivers,counterfactual
0.0328298377479555,0.2439546437644309,1169.0,9.362510914623837,20000.0,0.15,36.0,8990.637489085377,credit,"[('num__installment_commitment', 1.1486084009553927), ('cat__credit_history_critical/other existing credit', -0.9320508917489864), ('cat__personal_status_male single', -0.6625914811599087)]","{'feature': 'credit_amount', 'from': 1169, 'to': 584.5, 'pd_before': 0.03282983774795556, 'pd_after': 0.03076061453864265, 'delta': -0.0020692232093129093}"
0.5581025558062683,0.2840609187384496,5951.0,943.442527402755,20000.0,0.15,36.0,8056.557472597246,credit,"[('num__duration', 1.3684797015616506), ('num__credit_amount', 0.6845924754880278), ('cat__other_payment_plans_none', -0.6248186604287902)]","{'feature': 'credit_amount', 'from': 5951, 'to': 2975.5, 'pd_before': 0.5581025558062683, 'pd_after': 0.4728189907146035, 'delta': -0.08528356509166485}"
0.0554661572052916,0.3902720399385139,2096.0,45.37188211084467,20000.0,0.15,36.0,8954.628117889155,credit,"[('cat__checking_status_no checking', -1.0176603432442761), ('cat__credit_history_critical/other existing credit', -0.9320508917489864), ('cat__purpose_education', 0.8570681585031974)]","{'feature': 'credit_amount', 'from': 2096, 'to': 1048.0, 'pd_before': 0.055466157205291675, 'pd_after': 0.049478219086395527, 'delta': -0.005987938118896148}"
0.3550708760899746,0.2986468144624816,7882.0,835.8134756671723,20000.0,0.15,36.0,8164.1865243328275,credit,"[('num__duration', 1.1974197388664443), ('num__credit_amount', 0.9067312874805302), ('cat__employment_4<=X<7', -0.6656808424310587)]","{'feature': 'credit_amount', 'from': 7882, 'to': 3941.0, 'pd_before': 0.3550708760899746, 'pd_after': 0.25918887675758234, 'delta': -0.09588199933239228}"
0.720018609777121,0.4183533621460649,4870.0,1466.9521442329312,20000.0,0.15,36.0,7533.0478557670685,credit,"[('num__installment_commitment', 0.8614563007165446), ('num__duration', 0.6842398507808253), ('cat__personal_status_male single', -0.6625914811599087)]","{'feature': 'credit_amount', 'from': 4870, 'to': 2435.0, 'pd_before': 0.720018609777121, 'pd_after': 0.6602561341600562, 'delta': -0.059762475617064714}"
0.275097424344381,0.4996316472154641,9055.0,1244.586019289077,20000.0,0.15,36.0,7755.413980710923,credit,"[('num__credit_amount', 1.0416711251124335), ('num__duration', 1.026359776171238), ('cat__checking_status_no checking', -1.0176603432442761)]","{'feature': 'credit_amount', 'from': 9055, 'to': 4527.5, 'pd_before': 0.27509742434438106, 'pd_after': 0.18395962560337045, 'delta': -0.0911377987410106}"
0.0756146994205047,0.3039632841398589,2835.0,65.1599018550724,20000.0,0.15,36.0,8934.840098144927,credit,"[('cat__checking_status_no checking', -1.0176603432442761), ('num__installment_commitment', 0.8614563007165446), ('num__duration', 0.6842398507808253)]","{'feature': 'credit_amount', 'from': 2835, 'to': 1417.5, 'pd_before': 0.07561469942050476, 'pd_after': 0.06497656302598198, 'delta': -0.010638136394522782}"
0.2632712576840321,0.1508942668993347,6948.0,276.0171055492425,20000.0,0.15,36.0,8723.982894450757,credit,"[('num__duration', 1.026359776171238), ('cat__purpose_used car', -0.9813482536491334), ('num__credit_amount', 0.7992855855639082)]","{'feature': 'credit_amount', 'from': 6948, 'to': 3474.0, 'pd_before': 0.26327125768403215, 'pd_after': 0.19330480343250045, 'delta': -0.0699664542515317}"
0.0277512808018178,0.3293798647231175,3059.0,27.961441423055355,20000.0,0.15,36.0,8972.038558576945,credit,"[('cat__checking_status_no checking', -1.0176603432442761), ('cat__employment_4<=X<7', -0.6656808424310587), ('cat__other_payment_plans_none', -0.6248186604287902)]","{'feature': 'credit_amount', 'from': 3059, 'to': 1529.5, 'pd_before': 0.02775128080181782, 'pd_after': 0.023378539811402414, 'delta': -0.004372740990415406}"
0.6571109465360903,0.5237398684560446,5234.0,1801.3083204629563,20000.0,0.15,36.0,7198.6916795370435,cashflow,"[('num__installment_commitment', 1.1486084009553927), ('cat__credit_history_critical/other existing credit', -0.9320508917489864), ('num__duration', 0.8552998134760316)]","{'feature': 'credit_amount', 'from': 5234, 'to': 2617.0, 'pd_before': 0.6571109465360903, 'pd_after': 0.5864698666687335, 'delta': -0.07064107986735679}"
0.686107840386535,0.1612741146586702,1295.0,143.29360770173034,20000.0,0.15,36.0,8856.706392298269,cashflow,"[('num__installment_commitment', 0.8614563007165446), ('cat__other_payment_plans_none', -0.6248186604287902), ('cat__savings_status_<100', 0.5049896871194027)]","{'feature': 'credit_amount', 'from': 1295, 'to': 647.5, 'pd_before': 0.686107840386535, 'pd_after': 0.6698480915295008, 'delta': -0.016259748857034295}"
0.879750033136275,0.3274650438666328,4308.0,1241.0804467939015,20000.0,0.15,36.0,7758.9195532060985,cashflow,"[('num__duration', 1.3684797015616506), ('num__installment_commitment', 0.8614563007165446), ('cat__other_payment_plans_none', -0.6248186604287902)]","{'feature': 'credit_amount', 'from': 4308, 'to': 2154.0, 'pd_before': 0.8797500331362752, 'pd_after': 0.8509755288874679, 'delta': -0.028774504248807342}"
0.1496087099039173,0.4876124246245147,1567.0,114.31432007913224,20000.0,0.15,36.0,8885.685679920867,credit,"[('cat__other_payment_plans_none', -0.6248186604287902), ('cat__savings_status_<100', 0.5049896871194027), ('cat__own_telephone_yes', -0.48588636629150395)]","{'feature': 'credit_amount', 'from': 1567, 'to': 783.5, 'pd_before': 0.14960870990391734, 'pd_after': 0.1384998784782562, 'delta': -0.011108831425661131}"
0.4068235988120531,0.2162056043309747,1199.0,105.46109290267708,20000.0,0.15,36.0,8894.538907097323,credit,"[('num__installment_commitment', 1.1486084009553927), ('cat__credit_history_critical/other existing credit', -0.9320508917489864), ('num__duration', 0.6842398507808253)]","{'feature': 'credit_amount', 'from': 1199, 'to': 599.5, 'pd_before': 0.40682359881205316, 'pd_after': 0.3902937627108905, 'delta': -0.016529836101162654}"
